Region, Agency Name, Agency URL, Unofficial Source, Routing Enabled
"Multi-Region","S.C. DALMACO PROD IMPEX S.R.L.","http://www.metropolabrasov.ro/",false,true
"Multi-Region","S.C. GELUVIO TRANS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Multi-Region","S.C. LA CODREANU SERVICII PUBLICE S.R.L.","http://www.metropolabrasov.ro/",false,true
"Multi-Region","S.C. TRANSBUS S.A.","http://www.metropolabrasov.ro/",false,true
"Multi-Region","SC TRANSANDRE SRL","http://www.metropolabrasov.ro/",false,true
"Brașov","Regia Autonoma De Transport Brasov","http://www.ratbv.ro/",false,true
"Brașov","S.C. SUPER UNIVERS TRANS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Brașov","Metrorex","http://www.metrorex.ro/",false,true
"Brașov","RATB","http://www.ratb.ro/",false,true
"Brașov","Compania de Transport Public S.A. Cluj-Napoca","http://www.ctpcj.ro/",false,true
"Brașov","S.C. SAN INTERNATIONAL BUSINESS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Brașov","RATC","http://www.ratc.ro/",false,true
"Brașov","RAT Craiova","http://www.rat-craiova.ro/",false,true
"Brașov","RATP Iasi","http://ratp-iasi.ro/",false,true
"Brașov","Unistil","http://ratp-iasi.ro/",false,true
"Brașov","OTL","http://www.otlra.ro/",false,true
"Brașov","TCE","http://www.ratph.ro/",false,true
"Brașov","Regia Autonoma de Gospodarire Comunala si Prestari Servicii Sacele","http://www.municipiulsacele.ro/afisare.php?id=119",false,true
"Brașov","TURSIB","http://www.tursib.ro/",false,true
"Brașov","RATT","http://ratt.ro/",false,true
"Bucharest","Regia Autonoma De Transport Brasov","http://www.ratbv.ro/",false,true
"Bucharest","S.C. SUPER UNIVERS TRANS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Bucharest","Metrorex","http://www.metrorex.ro/",false,true
"Bucharest","RATB","http://www.ratb.ro/",false,true
"Bucharest","Compania de Transport Public S.A. Cluj-Napoca","http://www.ctpcj.ro/",false,true
"Bucharest","S.C. SAN INTERNATIONAL BUSINESS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Bucharest","RATC","http://www.ratc.ro/",false,true
"Bucharest","RAT Craiova","http://www.rat-craiova.ro/",false,true
"Bucharest","RATP Iasi","http://ratp-iasi.ro/",false,true
"Bucharest","Unistil","http://ratp-iasi.ro/",false,true
"Bucharest","OTL","http://www.otlra.ro/",false,true
"Bucharest","TCE","http://www.ratph.ro/",false,true
"Bucharest","Regia Autonoma de Gospodarire Comunala si Prestari Servicii Sacele","http://www.municipiulsacele.ro/afisare.php?id=119",false,true
"Bucharest","TURSIB","http://www.tursib.ro/",false,true
"Bucharest","RATT","http://ratt.ro/",false,true
"Cluj-Napoca","Regia Autonoma De Transport Brasov","http://www.ratbv.ro/",false,true
"Cluj-Napoca","S.C. SUPER UNIVERS TRANS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Cluj-Napoca","Metrorex","http://www.metrorex.ro/",false,true
"Cluj-Napoca","RATB","http://www.ratb.ro/",false,true
"Cluj-Napoca","Compania de Transport Public S.A. Cluj-Napoca","http://www.ctpcj.ro/",false,true
"Cluj-Napoca","S.C. SAN INTERNATIONAL BUSINESS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Cluj-Napoca","RATC","http://www.ratc.ro/",false,true
"Cluj-Napoca","RAT Craiova","http://www.rat-craiova.ro/",false,true
"Cluj-Napoca","RATP Iasi","http://ratp-iasi.ro/",false,true
"Cluj-Napoca","Unistil","http://ratp-iasi.ro/",false,true
"Cluj-Napoca","OTL","http://www.otlra.ro/",false,true
"Cluj-Napoca","TCE","http://www.ratph.ro/",false,true
"Cluj-Napoca","Regia Autonoma de Gospodarire Comunala si Prestari Servicii Sacele","http://www.municipiulsacele.ro/afisare.php?id=119",false,true
"Cluj-Napoca","TURSIB","http://www.tursib.ro/",false,true
"Cluj-Napoca","RATT","http://ratt.ro/",false,true
"Codlea","Regia Autonoma De Transport Brasov","http://www.ratbv.ro/",false,true
"Codlea","S.C. SUPER UNIVERS TRANS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Codlea","Metrorex","http://www.metrorex.ro/",false,true
"Codlea","RATB","http://www.ratb.ro/",false,true
"Codlea","Compania de Transport Public S.A. Cluj-Napoca","http://www.ctpcj.ro/",false,true
"Codlea","S.C. SAN INTERNATIONAL BUSINESS S.R.L.","http://www.metropolabrasov.ro/",false,true
"Codlea","RATC","http://www.ratc.ro/",false,true
"Codlea","RAT Craiova","http://www.rat-craiova.ro/",false,true
"Codlea","RATP Iasi","http://ratp-iasi.ro/",false,true
"Codlea","Unistil","http://ratp-iasi.ro/",false,true
"Codlea","OTL","http://www.otlra.ro/",false,true
"Codlea","TCE","http://www.ratph.ro/",false,true
"Codlea","Regia Autonoma de Gospodarire Comunala si Prestari Servicii Sacele","http://www.municipiulsacele.ro/afisare.php?id=119",false,true
